cell,cluster
325,2
408,13
466,2
753,14
278,14
633,13
474,16
896,5
582,13
847,7
780,13
913,13
186,14
610,12
80,12
655,2
843,10
187,10
737,2
569,11
372,10
628,13
597,10
709,11
264,9
147,11
891,9
364,4
515,6
895,12
465,11
914,12
818,13
27,14
497,4
450,14
801,2
762,5
249,13
848,14
705,5
243,2
608,2
567,11
772,13
686,12
17,4
272,11
717,1
561,2
648,13
221,3
358,15
441,10
720,11
518,14
578,13
352,10
397,11
564,10
629,5
409,14
538,14
69,4
798,8
906,1
200,14
722,13
182,7
165,14
853,13
568,12
247,2
427,12
704,10
743,2
910,3
813,4
622,5
230,1
202,15
20,11
491,12
216,14
298,7
213,11
95,3
630,10
231,3
781,1
841,11
863,10
222,12
616,4
35,2
775,13
887,12
324,13
312,12
310,10
897,13
721,11
288,13
511,2
112,3
505,7
605,5
699,13
603,12
376,10
875,7
52,7
429,18
368,5
30,11
45,12
588,13
693,12
885,12
337,13
25,11
50,14
239,11
240,13
678,11
890,13
714,13
254,5
770,4
83,13
60,11
180,5
255,15
102,13
120,2
599,16
877,3
771,13
824,5
354,14
197,14
332,14
719,11
316,10
109,14
516,14
865,10
888,14
552,9
908,11
44,11
644,13
815,2
398,2
392,10
16,7
73,14
537,13
281,11
179,10
692,14
140,2
804,14
97,7
53,12
58,5
12,12
712,14
691,2
327,13
205,7
574,2
94,2
654,2
36,3
796,13
391,10
626,10
601,13
261,10
184,10
155,3
42,10
776,12
585,14
276,13
734,4
682,7
101,2
389,2
531,10
570,13
171,4
595,14
297,7
768,11
484,14
612,12
269,13
695,14
456,13
667,14
769,3
461,2
173,3
698,12
558,11
295,10
620,2
415,13
442,11
428,2
127,14
874,15
51,10
405,14
224,14
831,13
543,4
845,15
735,3
267,14
576,2
1,12
203,10
277,16
525,11
494,14
446,13
645,1
24,3
884,7
342,14
170,2
876,13
559,14
98,3
736,4
810,11
308,3
10,12
900,13
168,14
879,4
242,13
158,2
282,3
118,11
47,2
684,13
253,13
805,16
472,14
110,3
438,13
238,13
544,14
422,9
257,13
747,14
527,13
6,16
334,14
133,4
580,13
291,10
685,15
739,11
421,14
259,13
637,2
384,4
228,12
31,1
638,10
752,16
382,11
86,4
689,9
114,15
40,5
211,16
524,12
507,14
418,5
57,10
886,4
615,16
460,2
649,4
522,14
499,16
139,14
732,12
121,3
791,11
407,15
157,14
878,14
443,16
730,11
800,12
462,13
764,3
469,4
496,14
827,5
423,11
455,7
750,11
394,16
808,11
229,12
66,2
130,7
323,4
381,13
252,4
299,10
309,13
440,13
46,11
370,14
246,13
835,14
473,11
306,11
2,11
862,5
726,14
373,11
575,1
789,16
48,10
627,3
492,13
640,13
11,15
115,13
181,3
145,16
256,7
912,11
856,16
621,3
755,4
336,11
579,16
803,13
117,2
565,1
275,3
49,14
666,16
345,11
283,12
43,12
723,2
513,13
859,2
223,5
260,13
893,14
504,3
725,10
671,14
529,11
164,2
8,10
703,1
657,11
293,13
557,4
799,4
821,12
868,10
838,2
371,14
150,11
535,10
330,10
195,10
245,1
784,13
270,4
178,2
653,17
842,13
553,12
782,4
767,2
556,10
754,14
523,11
122,14
125,14
826,12
348,10
729,11
834,14
639,14
300,11
701,12
581,14
746,11
138,13
369,14
15,13
126,13
233,14
660,2
59,2
563,7
554,13
636,13
811,12
361,2
215,2
609,3
108,14
320,14
38,14
822,4
0,13
250,14
220,10
687,13
107,4
444,11
590,12
413,9
870,10
632,2
773,1
84,14
757,14
339,13
607,14
823,14
480,2
744,13
788,15
153,8
783,15
715,12
70,11
32,3
551,14
424,10
840,15
96,3
589,2
360,13
151,14
266,2
280,3
82,15
452,14
366,11
367,4
285,13
317,14
201,5
23,14
851,13
850,14
802,14
433,13
62,14
560,10
596,10
665,14
265,3
475,5
104,2
854,4
477,11
177,5
604,15
426,12
631,3
432,2
669,13
67,10
727,14
99,14
521,18
100,13
388,11
74,14
498,7
33,13
319,11
485,5
458,4
385,13
172,11
520,11
383,10
55,14
244,13
314,5
237,13
761,11
663,14
209,14
467,10
154,14
90,12
861,14
219,11
673,2
411,9
210,14
204,5
141,2
274,11
573,14
