,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,cluster_id
s61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s62,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s63,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s64,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s65,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s66,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s67,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s68,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s69,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s71,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s72,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s74,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s76,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s77,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s78,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s79,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s80,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s81,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s82,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s83,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s84,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s85,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s86,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s87,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s88,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s89,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s91,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s92,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s93,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s94,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s95,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s96,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s97,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s99,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s101,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s102,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s103,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s104,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s105,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s106,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s107,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s108,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s109,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s110,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s111,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s112,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s113,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s114,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s115,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s116,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s117,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s118,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s119,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s120,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s121,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s122,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s123,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s124,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s125,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s126,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s127,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s128,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s129,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s132,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s134,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s135,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s136,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s137,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s138,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s139,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s140,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s141,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s142,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s143,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s144,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s145,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s146,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s147,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s148,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s149,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s150,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s151,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s152,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s153,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s154,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s155,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s156,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s157,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s158,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s159,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s160,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s161,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s162,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s163,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s164,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s165,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s166,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s167,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s168,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s169,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s170,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s171,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s172,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s173,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s175,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s176,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s177,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s178,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s179,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s180,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s181,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s183,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s184,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s185,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s186,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s187,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s189,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s190,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s193,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s194,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s195,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s196,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s197,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s198,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s199,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s200,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s202,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s203,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s205,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s206,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s207,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s208,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s209,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s210,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s211,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s212,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s213,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s214,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s215,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s216,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s217,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s218,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s219,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s220,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s221,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s222,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s223,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s224,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s225,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s226,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s227,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s228,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s229,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s230,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s231,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s232,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s233,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s234,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s235,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s236,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s237,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s238,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s239,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s240,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s242,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s243,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s244,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s245,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s246,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s249,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s250,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s251,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s252,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s253,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s254,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s255,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s256,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s257,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s258,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s260,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s261,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s262,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s263,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s264,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s265,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s266,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s267,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s268,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s269,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s270,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s271,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s272,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s273,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s275,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s276,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s277,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s278,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s279,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s280,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s281,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s282,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s283,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s284,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s285,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s286,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s287,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s288,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s289,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s290,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s291,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s292,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s293,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s294,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s295,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s296,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s297,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s298,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s299,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s300,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s301,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s302,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s303,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s305,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s306,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s307,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s308,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s309,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s310,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s311,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s312,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s313,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s314,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s315,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s316,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s317,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s318,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s319,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s320,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s321,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s322,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s323,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s324,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s325,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s327,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s328,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s329,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s330,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s331,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s332,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s333,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s334,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s335,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s336,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s337,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s338,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s339,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s340,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s341,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s342,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s344,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s345,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s346,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s347,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s348,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s349,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s350,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s351,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s352,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s353,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s354,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s356,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s357,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s358,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s359,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s360,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s361,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s362,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s363,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s364,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s365,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s366,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s367,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s368,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s369,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s370,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s371,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s372,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s373,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s374,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s375,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s377,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s378,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s379,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s380,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s381,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s382,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s383,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s384,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s387,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s390,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s391,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s392,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s393,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s394,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s395,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s396,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
