,bin
555,2352
556,5076
557,5308
558,4615
559,4258
560,5755
561,542
562,3720
563,2584
564,5669
565,3499
566,2326
567,236
568,5317
569,4612
570,571
571,911
572,4587
573,1353
574,5810
575,2718
576,1475
577,5978
578,4040
579,1865
580,1657
581,5719
582,5382
583,3948
584,52
585,1785
586,1324
587,1811
588,1686
589,4864
590,2676
591,3905
592,2343
593,2161
594,495
595,4767
596,2424
597,1476
598,1888
599,699
600,606
601,5382
602,240
603,2997
604,4416
605,1611
606,3290
607,643
608,5330
609,5666
610,3942
611,2230
612,5736
613,1170
614,3903
615,4132
616,927
617,3757
618,3527
619,211
620,4089
621,5221
622,2679
623,5650
624,1398
625,3361
626,1127
627,5905
628,4131
629,2255
630,1828
631,3344
632,5386
633,1758
634,213
635,5503
636,1732
637,2604
638,4173
639,5231
640,3223
641,1397
642,1826
643,1877
644,3404
645,2136
646,4545
647,4100
648,676
649,1501
650,1899
651,1465
652,2767
653,4847
654,4103
655,4424
656,1931
657,5758
658,3145
659,3656
660,1535
661,3154
662,2689
663,1865
664,2711
665,683
666,3990
667,941
668,1926
669,3265
670,703
671,5349
672,5137
673,4327
674,4392
675,3404
676,2655
677,4215
678,207
679,783
680,3170
681,2761
682,1011
683,691
684,3554
685,5017
686,789
687,5421
688,4691
689,3323
690,2160
691,563
692,3425
693,1802
694,2409
695,638
696,4841
697,788
698,4677
699,791
700,1254
701,4367
702,4066
703,1935
704,3731
705,3625
706,1276
707,4809
708,3100
709,5684
710,1303
711,5732
712,4633
713,5613
714,2505
715,641
716,1992
717,3536
718,3344
719,5770
720,2798
721,5364
722,775
723,2642
724,1581
725,3318
726,5799
727,3527
728,3800
729,2079
730,3519
731,4234
732,4632
733,5459
734,396
735,1105
736,1464
737,4930
738,3570
739,3412
740,5774
741,3462
742,5817
743,1665
744,5063
745,5109
746,4534
747,3696
748,2751
749,3931
750,954
751,565
752,5485
753,2566
754,5457
755,5694
756,5810
757,1935
758,5397
759,1951
760,4768
761,3911
762,3031
763,3046
764,4025
765,655
766,5940
767,2509
768,4974
769,4020
770,5798
771,5980
772,4264
773,2465
774,2685
775,4869
776,2864
777,1162
778,653
779,198
780,1572
781,1942
782,1382
783,5804
784,4538
785,1456
786,5758
787,1152
788,1734
789,883
790,4162
791,2344
792,3851
793,3079
794,689
795,2737
796,3457
797,1156
798,1242
799,4745
800,5975
801,4201
802,4707
803,4400
804,1068
805,4710
806,1700
807,587
808,2369
809,5032
810,4197
811,1894
812,3962
813,5711
814,1669
815,2150
816,4513
817,5008
818,2349
819,1005
820,2103
821,4557
822,2548
823,3998
824,4891
825,1072
826,3569
827,4764
828,1740
829,2160
830,2788
831,532
832,1362
833,5334
834,5347
835,5393
836,2285
837,2460
838,1270
839,285
840,1797
841,677
842,4568
843,4285
844,1852
845,667
846,422
847,5671
848,4277
849,2106
850,1946
851,2917
852,3955
853,1234
854,1980
855,2200
856,1927
857,4311
858,4609
859,150
860,3025
861,1781
862,180
863,2483
864,566
865,4271
866,2571
867,460
868,5872
869,498
870,2191
871,1787
872,5182
873,664
874,1808
875,3626
876,1675
877,888
878,909
879,337
880,396
881,4293
882,1713
883,3859
884,5921
885,4870
886,4931
887,3617
888,213
889,614
890,3309
891,2871
892,680
893,722
894,2599
895,3108
896,2473
897,4138
898,3536
899,5103
900,3240
901,5863
902,5143
903,5371
904,4780
905,3026
906,743
907,361
908,1454
909,5433
910,4620
911,337
912,2508
913,1402
914,2456
915,2482
916,2927
917,309
918,2821
919,899
920,4096
921,3383
922,4463
923,1380
924,4315
925,5762
926,4215
927,1860
928,955
929,706
930,3558
931,4479
932,5357
933,3152
934,2438
935,2496
936,5752
937,2613
938,4248
939,5457
940,34
941,1808
942,3509
943,5942
944,2238
945,550
946,425
947,2918
948,3947
949,121
950,4028
951,3739
952,4008
953,953
954,4623
955,3834
956,3730
957,4104
958,541
959,1989
960,5128
961,1509
962,2844
963,3577
964,3969
965,3307
966,1385
967,5021
968,5569
969,3644
970,2296
971,3263
972,320
973,4412
974,5643
975,3258
976,4761
977,3768
978,2692
979,4287
980,3507
981,2855
982,3531
983,1197
984,4204
985,3012
986,1569
987,4847
988,3521
989,577
990,765
991,1402
992,5942
993,3201
994,3183
995,284
996,3601
997,5943
998,3682
999,5055
1000,1123
1001,1616
1002,3784
1003,2231
1004,3801
1005,5485
1006,1281
1007,703
1008,2086
1009,423
1010,178
1011,4595
1012,5843
1013,577
1014,5197
1015,3914
1016,4402
1017,4428
1018,1993
1019,2939
1020,2067
1021,1391
1022,3293
1023,1956
1024,5151
1025,3674
1026,5369
1027,5571
1028,4205
1029,1329
1030,4880
1031,4805
1032,416
1033,4659
1034,4482
1035,2358
1036,3385
1037,1371
1038,4431
1039,2924
1040,4350
1041,839
1042,4035
1043,2717
1044,2942
1045,2755
1046,705
1047,1888
1048,5940
1049,2572
1050,3582
1051,881
1052,2541
1053,2970
1054,3080
1055,1818
1056,164
1057,3278
1058,612
1059,1322
1060,366
1061,3341
1062,4925
1063,3518
1064,2539
1065,1228
1066,373
1067,551
1068,1052
1069,1630
1070,4812
1071,4049
1072,698
1073,2697
1074,2395
1075,3961
1076,930
1077,2682
1078,4329
1079,3721
1080,5735
1081,468
1082,4247
1083,4217
1084,460
1085,2894
1086,4081
1087,4503
1088,2448
1089,887
1090,4377
1091,4163
1092,5329
1093,2357
1094,5434
1095,5103
1096,3064
1097,796
1098,204
1099,2814
1100,866
1101,49
1102,153
1103,3742
1104,1036
1105,1045
1106,4186
1107,1087
1108,3808
1109,1031
1110,4157
1111,407
1112,4503
1113,2909
1114,3916
1115,1405
1116,4482
1117,2433
1118,5045
1119,521
1120,3975
1121,5689
1122,5651
1123,1831
1124,2012
1125,4781
1126,3142
1127,3399
1128,5022
1129,2705
1130,2620
1131,1079
1132,445
1133,3287
1134,3879
1135,5339
1136,243
1137,3106
1138,3
1139,2073
1140,5446
1141,2694
1142,993
1143,1675
1144,3213
1145,4631
1146,4814
1147,2975
1148,780
1149,3189
1150,1405
1151,3833
1152,3587
1153,4801
1154,3647
1155,109
1156,2024
1157,2357
1158,557
1159,5492
1160,1577
1161,2321
1162,4071
1163,5012
1164,1489
1165,3441
1166,5400
1167,4287
1168,393
1169,2473
1170,1034
1171,4910
1172,2243
1173,4849
1174,5172
1175,436
1176,1356
1177,1491
1178,3715
1179,3828
1180,4434
1181,5250
1182,3217
1183,1859
1184,5607
1185,4449
1186,3520
1187,1243
1188,1997
1189,2430
1190,3065
1191,3451
1192,821
1193,5861
1194,940
1195,693
1196,3399
1197,4322
1198,4472
1199,4082
1200,5003
1201,1862
1202,837
1203,5869
1204,2044
1205,2505
1206,1879
1207,1275
1208,4920
1209,3758
1210,15
1211,1748
1212,4585
1213,446
1214,4633
1215,3500
1216,3386
1217,2130
1218,2092
1219,2678
1220,4213
1221,3162
1222,692
1223,1183
1224,139
1225,5249
1226,3633
1227,3152
1228,3622
1229,1155
1230,3452
1231,568
1232,88
1233,5978
1234,1191
1235,644
1236,176
1237,4318
1238,2889
1239,4064
1240,5281
1241,584
1242,5536
1243,3097
1244,2526
1245,2863
1246,1346
1247,1462
1248,5060
1249,1112
1250,515
1251,1531
1252,333
1253,3569
1254,5168
1255,2325
1256,919
1257,1477
1258,1850
1259,4665
1260,3874
1261,4022
1262,4464
1263,555
1264,4896
1265,2152
1266,4435
1267,4945
1268,3096
1269,3241
1270,1988
1271,574
1272,5212
1273,5382
1274,2638
1275,5941
1276,2256
1277,3024
1278,430
1279,5326
1280,2797
1281,3293
1282,5579
1283,340
1284,4764
1285,1277
1286,1754
1287,3965
1288,3632
1289,751
1290,466
1291,5311
1292,4393
1293,3978
1294,3846
1295,3566
1296,3714
1297,4670
1298,740
1299,320
1300,1048
1301,3737
1302,4972
1303,3589
1304,335
1305,1885
1306,5788
1307,1436
1308,670
1309,5312
1310,3642
1311,3840
1312,5760
1313,5949
1314,880
1315,3615
1316,1213
1317,5642
1318,5009
1319,4741
1320,1465
1321,5982
1322,4814
1323,4898
1324,1471
1325,698
1326,3942
1327,3356
1328,5806
1329,5615
1330,5874
1331,1134
1332,3956
1333,4407
1334,5342
1335,4235
1336,239
1337,439
1338,3807
1339,5792
1340,6
1341,4591
1342,2495
1343,5889
1344,5790
1345,2441
1346,2632
1347,1654
1348,398
1349,541
1350,1021
1351,1675
1352,5305
1353,5668
1354,5
1355,2043
1356,255
1357,4322
1358,648
1359,5665
1360,3131
1361,1437
1362,105
1363,2525
1364,3466
1365,1836
1366,4633
1367,5276
1368,4554
1369,613
1370,3907
1371,1565
1372,868
1373,4961
1374,3856
1375,1562
1376,437
1377,2584
1378,688
1379,2612
1380,2123
1381,78
1382,2129
1383,2405
1384,2159
1385,5258
1386,3931
1387,2231
1388,3548
1389,2280
1390,4194
1391,4492
1392,3788
1393,5540
1394,2042
1395,4171
1396,4620
1397,1838
1398,5499
1399,1267
1400,1460
1401,3270
1402,2562
1403,2254
1404,101
1405,26
1406,1998
1407,2342
1408,3995
1409,362
1410,5590
1411,4857
1412,4650
1413,3967
1414,656
1415,1905
1416,2464
1417,2231
1418,3645
1419,2583
1420,2239
1421,5772
1422,635
1423,4711
1424,1032
1425,4757
1426,1734
1427,789
1428,3956
1429,2831
1430,5276
1431,52
1432,309
1433,3252
1434,2476
1435,4750
1436,3393
1437,2344
1438,4312
1439,2819
1440,2247
1441,409
1442,5267
1443,3085
1444,4813
1445,2376
1446,5143
1447,4485
1448,5967
1449,3446
1450,2925
1451,260
1452,5136
1453,580
1454,4837
1455,3930
1456,842
1457,5070
1458,2039
1459,1856
1460,5713
1461,3714
1462,2933
1463,535
1464,1916
1465,168
1466,4473
1467,4471
1468,3862
1469,5570
1470,5920
1471,2037
1472,3772
1473,2042
1474,1656
1475,4214
1476,4799
1477,3911
1478,4262
1479,5003
1480,2796
1481,720
1482,5207
1483,3501
1484,3493
1485,3147
1486,2408
1487,2071
1488,5879
1489,2344
1490,4941
1491,3132
1492,423
1493,3816
1494,2098
1495,1490
1496,5231
1497,2427
1498,150
1499,4904
