cell,cluster
69,9
693,2
939,12
1126,7
339,5
805,7
8,10
889,12
283,14
79,10
502,7
1203,13
580,7
813,16
137,7
1151,7
826,7
292,7
791,7
