cluster,subcluster,cell
4,0,SA1090-A96213A-R25-C32
6,0,SA1090-A96213A-R25-C33
5,0,SA1090-A96213A-R25-C34
4,0,SA1090-A96213A-R25-C35
4,0,SA1090-A96213A-R25-C36
6,0,SA1090-A96213A-R25-C37
9,0,SA1090-A96213A-R25-C39
4,0,SA1090-A96213A-R25-C40
5,0,SA1090-A96213A-R25-C41
6,0,SA1090-A96213A-R25-C42
4,0,SA1090-A96213A-R25-C43
5,0,SA1090-A96213A-R25-C44
5,0,SA1090-A96213A-R25-C45
6,0,SA1090-A96213A-R25-C46
6,0,SA1090-A96213A-R25-C47
6,0,SA1090-A96213A-R25-C48
4,0,SA1090-A96213A-R25-C49
5,0,SA1090-A96213A-R25-C50
6,0,SA1090-A96213A-R25-C51
4,0,SA1090-A96213A-R25-C52
5,0,SA1090-A96213A-R25-C53
4,0,SA1090-A96213A-R25-C54
4,0,SA1090-A96213A-R25-C55
4,0,SA1090-A96213A-R25-C56
4,0,SA1090-A96213A-R25-C57
6,0,SA1090-A96213A-R25-C58
4,0,SA1090-A96213A-R25-C59
6,0,SA1090-A96213A-R25-C60
4,0,SA1090-A96213A-R25-C61
4,0,SA1090-A96213A-R25-C62
4,0,SA1090-A96213A-R25-C63
4,0,SA1090-A96213A-R25-C64
5,0,SA1090-A96213A-R25-C65
6,0,SA1090-A96213A-R25-C66
4,0,SA1090-A96213A-R25-C67
4,0,SA1090-A96213A-R25-C68
6,0,SA1090-A96213A-R25-C69
5,0,SA1090-A96213A-R25-C70
4,0,SA1090-A96213A-R26-C07
4,0,SA1090-A96213A-R26-C08
4,0,SA1090-A96213A-R26-C09
6,0,SA1090-A96213A-R26-C10
5,0,SA1090-A96213A-R26-C11
4,0,SA1090-A96213A-R26-C12
4,0,SA1090-A96213A-R26-C13
4,0,SA1090-A96213A-R26-C14
5,0,SA1090-A96213A-R26-C15
6,0,SA1090-A96213A-R26-C16
4,0,SA1090-A96213A-R26-C18
6,0,SA1090-A96213A-R26-C19
5,0,SA1090-A96213A-R26-C20
4,0,SA1090-A96213A-R26-C21
4,0,SA1090-A96213A-R26-C23
6,0,SA1090-A96213A-R26-C24
6,0,SA1090-A96213A-R26-C25
6,0,SA1090-A96213A-R26-C26
5,0,SA1090-A96213A-R26-C27
6,0,SA1090-A96213A-R26-C28
6,0,SA1090-A96213A-R26-C29
6,0,SA1090-A96213A-R26-C31
5,0,SA1090-A96213A-R26-C32
4,0,SA1090-A96213A-R26-C33
4,0,SA1090-A96213A-R26-C34
4,0,SA1090-A96213A-R26-C35
6,0,SA1090-A96213A-R26-C36
4,0,SA1090-A96213A-R26-C37
5,0,SA1090-A96213A-R26-C38
5,0,SA1090-A96213A-R26-C39
4,0,SA1090-A96213A-R26-C40
4,0,SA1090-A96213A-R26-C42
4,0,SA1090-A96213A-R26-C43
4,0,SA1090-A96213A-R26-C44
4,0,SA1090-A96213A-R26-C45
6,0,SA1090-A96213A-R26-C46
4,0,SA1090-A96213A-R26-C47
4,0,SA1090-A96213A-R26-C48
4,0,SA1090-A96213A-R26-C49
5,0,SA1090-A96213A-R26-C50
5,0,SA1090-A96213A-R26-C51
4,0,SA1090-A96213A-R26-C52
6,0,SA1090-A96213A-R26-C53
4,0,SA1090-A96213A-R26-C54
6,0,SA1090-A96213A-R26-C55
6,0,SA1090-A96213A-R26-C56
4,0,SA1090-A96213A-R26-C57
6,0,SA1090-A96213A-R26-C58
6,0,SA1090-A96213A-R26-C59
6,0,SA1090-A96213A-R26-C60
4,0,SA1090-A96213A-R26-C61
6,0,SA1090-A96213A-R26-C62
4,0,SA1090-A96213A-R26-C63
4,0,SA1090-A96213A-R26-C64
4,0,SA1090-A96213A-R26-C65
5,0,SA1090-A96213A-R26-C66
6,0,SA1090-A96213A-R26-C67
6,0,SA1090-A96213A-R26-C68
4,0,SA1090-A96213A-R26-C69
6,0,SA1090-A96213A-R26-C70
2,0,SA1090-A96213A-R27-C06
5,0,SA1090-A96213A-R27-C07
5,0,SA1090-A96213A-R27-C08
5,0,SA1090-A96213A-R27-C09
5,0,SA1090-A96213A-R27-C10
5,0,SA1090-A96213A-R27-C11
6,0,SA1090-A96213A-R27-C12
4,0,SA1090-A96213A-R27-C13
4,0,SA1090-A96213A-R27-C14
5,0,SA1090-A96213A-R27-C15
4,0,SA1090-A96213A-R27-C16
6,0,SA1090-A96213A-R27-C17
6,0,SA1090-A96213A-R27-C18
4,0,SA1090-A96213A-R27-C19
5,0,SA1090-A96213A-R27-C20
4,0,SA1090-A96213A-R27-C21
4,0,SA1090-A96213A-R27-C22
4,0,SA1090-A96213A-R27-C23
4,0,SA1090-A96213A-R27-C24
6,0,SA1090-A96213A-R27-C25
4,0,SA1090-A96213A-R27-C26
4,0,SA1090-A96213A-R27-C27
5,0,SA1090-A96213A-R27-C28
4,0,SA1090-A96213A-R27-C29
4,0,SA1090-A96213A-R27-C30
5,0,SA1090-A96213A-R27-C31
6,0,SA1090-A96213A-R27-C32
6,0,SA1090-A96213A-R27-C33
6,0,SA1090-A96213A-R27-C34
6,0,SA1090-A96213A-R27-C35
6,0,SA1090-A96213A-R27-C36
6,0,SA1090-A96213A-R27-C37
4,0,SA1090-A96213A-R27-C38
4,0,SA1090-A96213A-R27-C40
6,0,SA1090-A96213A-R27-C41
6,0,SA1090-A96213A-R27-C42
4,0,SA1090-A96213A-R27-C43
4,0,SA1090-A96213A-R27-C44
5,0,SA1090-A96213A-R27-C45
4,0,SA1090-A96213A-R27-C47
5,0,SA1090-A96213A-R27-C48
4,0,SA1090-A96213A-R27-C49
4,0,SA1090-A96213A-R27-C50
5,0,SA1090-A96213A-R27-C51
5,0,SA1090-A96213A-R27-C52
5,0,SA1090-A96213A-R27-C53
4,0,SA1090-A96213A-R27-C54
6,0,SA1090-A96213A-R27-C55
4,0,SA1090-A96213A-R27-C57
4,0,SA1090-A96213A-R27-C58
5,0,SA1090-A96213A-R27-C59
6,0,SA1090-A96213A-R27-C60
6,0,SA1090-A96213A-R27-C61
4,0,SA1090-A96213A-R27-C62
4,0,SA1090-A96213A-R27-C63
4,0,SA1090-A96213A-R27-C64
5,0,SA1090-A96213A-R27-C65
6,0,SA1090-A96213A-R27-C66
6,0,SA1090-A96213A-R27-C67
5,0,SA1090-A96213A-R27-C68
6,0,SA1090-A96213A-R27-C69
5,0,SA1090-A96213A-R27-C70
4,0,SA1090-A96213A-R28-C08
4,0,SA1090-A96213A-R28-C09
5,0,SA1090-A96213A-R28-C10
4,0,SA1090-A96213A-R28-C11
6,0,SA1090-A96213A-R28-C12
6,0,SA1090-A96213A-R28-C13
6,0,SA1090-A96213A-R28-C14
6,0,SA1090-A96213A-R28-C15
4,0,SA1090-A96213A-R28-C16
5,0,SA1090-A96213A-R28-C18
4,0,SA1090-A96213A-R28-C19
5,0,SA1090-A96213A-R28-C20
6,0,SA1090-A96213A-R28-C21
4,0,SA1090-A96213A-R28-C22
5,0,SA1090-A96213A-R28-C23
4,0,SA1090-A96213A-R28-C24
4,0,SA1090-A96213A-R28-C25
4,0,SA1090-A96213A-R28-C26
6,0,SA1090-A96213A-R28-C27
5,0,SA1090-A96213A-R28-C28
6,0,SA1090-A96213A-R28-C29
4,0,SA1090-A96213A-R28-C30
4,0,SA1090-A96213A-R28-C32
4,0,SA1090-A96213A-R28-C33
4,0,SA1090-A96213A-R28-C34
6,0,SA1090-A96213A-R28-C36
4,0,SA1090-A96213A-R28-C37
4,0,SA1090-A96213A-R28-C38
5,0,SA1090-A96213A-R28-C39
6,0,SA1090-A96213A-R28-C40
4,0,SA1090-A96213A-R28-C41
4,0,SA1090-A96213A-R28-C42
4,0,SA1090-A96213A-R28-C43
6,0,SA1090-A96213A-R28-C44
6,0,SA1090-A96213A-R28-C45
4,0,SA1090-A96213A-R28-C46
6,0,SA1090-A96213A-R28-C47
6,0,SA1090-A96213A-R28-C48
4,0,SA1090-A96213A-R28-C49
4,0,SA1090-A96213A-R28-C50
4,0,SA1090-A96213A-R28-C51
6,0,SA1090-A96213A-R28-C52
6,0,SA1090-A96213A-R28-C53
4,0,SA1090-A96213A-R28-C54
4,0,SA1090-A96213A-R28-C55
4,0,SA1090-A96213A-R28-C56
4,0,SA1090-A96213A-R28-C57
5,0,SA1090-A96213A-R28-C58
4,0,SA1090-A96213A-R28-C59
6,0,SA1090-A96213A-R28-C60
5,0,SA1090-A96213A-R28-C61
9,0,SA1090-A96213A-R28-C62
4,0,SA1090-A96213A-R28-C63
6,0,SA1090-A96213A-R28-C64
4,0,SA1090-A96213A-R28-C65
4,0,SA1090-A96213A-R28-C66
6,0,SA1090-A96213A-R28-C67
4,0,SA1090-A96213A-R28-C68
9,0,SA1090-A96213A-R28-C69
5,0,SA1090-A96213A-R28-C70
4,0,SA1090-A96213A-R29-C07
6,0,SA1090-A96213A-R29-C08
6,0,SA1090-A96213A-R29-C09
5,0,SA1090-A96213A-R29-C10
5,0,SA1090-A96213A-R29-C11
4,0,SA1090-A96213A-R29-C12
6,0,SA1090-A96213A-R29-C13
6,0,SA1090-A96213A-R29-C14
4,0,SA1090-A96213A-R29-C15
6,0,SA1090-A96213A-R29-C16
6,0,SA1090-A96213A-R29-C17
4,0,SA1090-A96213A-R29-C18
6,0,SA1090-A96213A-R29-C19
4,0,SA1090-A96213A-R29-C32
5,0,SA1090-A96213A-R29-C33
6,0,SA1090-A96213A-R29-C34
4,0,SA1090-A96213A-R29-C35
4,0,SA1090-A96213A-R29-C36
6,0,SA1090-A96213A-R29-C38
4,0,SA1090-A96213A-R29-C39
4,0,SA1090-A96213A-R29-C40
6,0,SA1090-A96213A-R29-C41
4,0,SA1090-A96213A-R29-C42
5,0,SA1090-A96213A-R29-C43
4,0,SA1090-A96213A-R29-C44
4,0,SA1090-A96213A-R29-C46
6,0,SA1090-A96213A-R29-C47
6,0,SA1090-A96213A-R29-C48
4,0,SA1090-A96213A-R29-C49
6,0,SA1090-A96213A-R29-C50
4,0,SA1090-A96213A-R29-C51
6,0,SA1090-A96213A-R29-C52
6,0,SA1090-A96213A-R29-C53
4,0,SA1090-A96213A-R29-C54
5,0,SA1090-A96213A-R29-C55
6,0,SA1090-A96213A-R29-C56
6,0,SA1090-A96213A-R29-C57
5,0,SA1090-A96213A-R29-C58
4,0,SA1090-A96213A-R29-C59
6,0,SA1090-A96213A-R29-C60
4,0,SA1090-A96213A-R29-C61
5,0,SA1090-A96213A-R29-C62
4,0,SA1090-A96213A-R29-C63
4,0,SA1090-A96213A-R29-C64
4,0,SA1090-A96213A-R29-C65
5,0,SA1090-A96213A-R29-C66
6,0,SA1090-A96213A-R29-C67
4,0,SA1090-A96213A-R29-C68
4,0,SA1090-A96213A-R29-C69
6,0,SA1090-A96213A-R29-C70
4,0,SA1090-A96213A-R30-C07
4,0,SA1090-A96213A-R30-C08
4,0,SA1090-A96213A-R30-C09
4,0,SA1090-A96213A-R30-C10
4,0,SA1090-A96213A-R30-C11
6,0,SA1090-A96213A-R30-C12
5,0,SA1090-A96213A-R30-C13
4,0,SA1090-A96213A-R30-C14
6,0,SA1090-A96213A-R30-C15
4,0,SA1090-A96213A-R30-C16
4,0,SA1090-A96213A-R30-C17
6,0,SA1090-A96213A-R30-C18
5,0,SA1090-A96213A-R30-C31
6,0,SA1090-A96213A-R30-C32
6,0,SA1090-A96213A-R30-C33
5,0,SA1090-A96213A-R30-C34
4,0,SA1090-A96213A-R30-C35
6,0,SA1090-A96213A-R30-C36
6,0,SA1090-A96213A-R30-C37
5,0,SA1090-A96213A-R30-C38
6,0,SA1090-A96213A-R30-C39
4,0,SA1090-A96213A-R30-C40
4,0,SA1090-A96213A-R30-C41
6,0,SA1090-A96213A-R30-C42
4,0,SA1090-A96213A-R30-C43
4,0,SA1090-A96213A-R30-C44
6,0,SA1090-A96213A-R30-C45
4,0,SA1090-A96213A-R30-C47
4,0,SA1090-A96213A-R30-C48
6,0,SA1090-A96213A-R30-C49
6,0,SA1090-A96213A-R30-C50
6,0,SA1090-A96213A-R30-C51
5,0,SA1090-A96213A-R30-C52
5,0,SA1090-A96213A-R30-C53
5,0,SA1090-A96213A-R30-C54
4,0,SA1090-A96213A-R30-C55
4,0,SA1090-A96213A-R30-C56
6,0,SA1090-A96213A-R30-C57
4,0,SA1090-A96213A-R30-C58
5,0,SA1090-A96213A-R30-C59
4,0,SA1090-A96213A-R30-C60
6,0,SA1090-A96213A-R30-C61
6,0,SA1090-A96213A-R30-C62
5,0,SA1090-A96213A-R30-C63
4,0,SA1090-A96213A-R30-C64
5,0,SA1090-A96213A-R30-C65
6,0,SA1090-A96213A-R30-C66
6,0,SA1090-A96213A-R30-C67
5,0,SA1090-A96213A-R30-C68
6,0,SA1090-A96213A-R30-C70
5,0,SA1090-A96213A-R31-C07
6,0,SA1090-A96213A-R31-C08
4,0,SA1090-A96213A-R31-C09
4,0,SA1090-A96213A-R31-C10
4,0,SA1090-A96213A-R31-C11
5,0,SA1090-A96213A-R31-C12
4,0,SA1090-A96213A-R31-C13
4,0,SA1090-A96213A-R31-C14
4,0,SA1090-A96213A-R31-C15
4,0,SA1090-A96213A-R31-C16
5,0,SA1090-A96213A-R31-C17
6,0,SA1090-A96213A-R31-C33
5,0,SA1090-A96213A-R31-C34
6,0,SA1090-A96213A-R31-C35
4,0,SA1090-A96213A-R31-C36
4,0,SA1090-A96213A-R31-C37
6,0,SA1090-A96213A-R31-C38
4,0,SA1090-A96213A-R31-C39
6,0,SA1090-A96213A-R31-C40
4,0,SA1090-A96213A-R31-C41
4,0,SA1090-A96213A-R31-C42
4,0,SA1090-A96213A-R31-C43
5,0,SA1090-A96213A-R31-C44
5,0,SA1090-A96213A-R31-C47
6,0,SA1090-A96213A-R31-C48
4,0,SA1090-A96213A-R31-C49
4,0,SA1090-A96213A-R31-C50
4,0,SA1090-A96213A-R31-C51
4,0,SA1090-A96213A-R31-C52
6,0,SA1090-A96213A-R31-C53
6,0,SA1090-A96213A-R31-C54
6,0,SA1090-A96213A-R31-C55
4,0,SA1090-A96213A-R31-C56
6,0,SA1090-A96213A-R31-C58
6,0,SA1090-A96213A-R31-C59
4,0,SA1090-A96213A-R31-C60
6,0,SA1090-A96213A-R31-C61
4,0,SA1090-A96213A-R31-C62
6,0,SA1090-A96213A-R31-C63
4,0,SA1090-A96213A-R31-C64
4,0,SA1090-A96213A-R31-C65
5,0,SA1090-A96213A-R31-C66
6,0,SA1090-A96213A-R31-C67
6,0,SA1090-A96213A-R31-C68
5,0,SA1090-A96213A-R31-C69
4,0,SA1090-A96213A-R31-C70
6,0,SA1090-A96213A-R32-C07
6,0,SA1090-A96213A-R32-C08
4,0,SA1090-A96213A-R32-C10
6,0,SA1090-A96213A-R32-C11
5,0,SA1090-A96213A-R32-C12
4,0,SA1090-A96213A-R32-C13
4,0,SA1090-A96213A-R32-C14
4,0,SA1090-A96213A-R32-C15
4,0,SA1090-A96213A-R32-C16
5,0,SA1090-A96213A-R32-C35
6,0,SA1090-A96213A-R32-C36
6,0,SA1090-A96213A-R32-C37
5,0,SA1090-A96213A-R32-C38
4,0,SA1090-A96213A-R32-C39
4,0,SA1090-A96213A-R32-C40
6,0,SA1090-A96213A-R32-C41
5,0,SA1090-A96213A-R32-C42
4,0,SA1090-A96213A-R32-C43
5,0,SA1090-A96213A-R32-C44
4,0,SA1090-A96213A-R32-C45
5,0,SA1090-A96213A-R32-C46
4,0,SA1090-A96213A-R32-C47
4,0,SA1090-A96213A-R32-C48
4,0,SA1090-A96213A-R32-C49
6,0,SA1090-A96213A-R32-C50
6,0,SA1090-A96213A-R32-C51
4,0,SA1090-A96213A-R32-C52
4,0,SA1090-A96213A-R32-C53
6,0,SA1090-A96213A-R32-C54
5,0,SA1090-A96213A-R32-C55
6,0,SA1090-A96213A-R32-C56
4,0,SA1090-A96213A-R32-C57
5,0,SA1090-A96213A-R32-C58
4,0,SA1090-A96213A-R32-C59
5,0,SA1090-A96213A-R32-C60
4,0,SA1090-A96213A-R32-C61
6,0,SA1090-A96213A-R32-C62
4,0,SA1090-A96213A-R32-C63
4,0,SA1090-A96213A-R32-C64
4,0,SA1090-A96213A-R32-C65
6,0,SA1090-A96213A-R32-C66
5,0,SA1090-A96213A-R32-C67
9,0,SA1090-A96213A-R32-C68
4,0,SA1090-A96213A-R32-C69
6,0,SA1090-A96213A-R32-C70
5,0,SA1090-A96213A-R33-C07
4,0,SA1090-A96213A-R33-C08
6,0,SA1090-A96213A-R33-C09
4,0,SA1090-A96213A-R33-C10
6,0,SA1090-A96213A-R33-C11
4,0,SA1090-A96213A-R33-C12
6,0,SA1090-A96213A-R33-C13
4,0,SA1090-A96213A-R33-C15
5,0,SA1090-A96213A-R33-C16
6,0,SA1090-A96213A-R33-C17
6,0,SA1090-A96213A-R33-C18
5,0,SA1090-A96213A-R33-C19
4,0,SA1090-A96213A-R33-C20
6,0,SA1090-A96213A-R33-C21
6,0,SA1090-A96213A-R33-C22
6,0,SA1090-A96213A-R33-C23
4,0,SA1090-A96213A-R33-C24
6,0,SA1090-A96213A-R33-C25
6,0,SA1090-A96213A-R33-C26
4,0,SA1090-A96213A-R33-C27
4,0,SA1090-A96213A-R33-C28
4,0,SA1090-A96213A-R33-C29
4,0,SA1090-A96213A-R33-C30
5,0,SA1090-A96213A-R33-C31
4,0,SA1090-A96213A-R33-C32
4,0,SA1090-A96213A-R33-C33
4,0,SA1090-A96213A-R33-C34
6,0,SA1090-A96213A-R33-C35
5,0,SA1090-A96213A-R33-C36
4,0,SA1090-A96213A-R33-C37
5,0,SA1090-A96213A-R33-C38
6,0,SA1090-A96213A-R33-C40
5,0,SA1090-A96213A-R33-C41
4,0,SA1090-A96213A-R33-C42
4,0,SA1090-A96213A-R33-C43
4,0,SA1090-A96213A-R33-C44
4,0,SA1090-A96213A-R33-C46
6,0,SA1090-A96213A-R33-C48
5,0,SA1090-A96213A-R33-C50
4,0,SA1090-A96213A-R33-C51
6,0,SA1090-A96213A-R33-C52
6,0,SA1090-A96213A-R33-C53
4,0,SA1090-A96213A-R33-C54
4,0,SA1090-A96213A-R33-C55
5,0,SA1090-A96213A-R33-C56
4,0,SA1090-A96213A-R33-C57
4,0,SA1090-A96213A-R33-C58
4,0,SA1090-A96213A-R33-C59
4,0,SA1090-A96213A-R33-C60
4,0,SA1090-A96213A-R33-C61
4,0,SA1090-A96213A-R33-C62
4,0,SA1090-A96213A-R33-C64
6,0,SA1090-A96213A-R33-C65
5,0,SA1090-A96213A-R33-C66
5,0,SA1090-A96213A-R33-C67
4,0,SA1090-A96213A-R33-C68
4,0,SA1090-A96213A-R33-C69
4,0,SA1090-A96213A-R33-C70
2,0,SA1090-A96213A-R34-C06
6,0,SA1090-A96213A-R34-C07
6,0,SA1090-A96213A-R34-C08
5,0,SA1090-A96213A-R34-C09
4,0,SA1090-A96213A-R34-C11
4,0,SA1090-A96213A-R34-C12
4,0,SA1090-A96213A-R34-C13
5,0,SA1090-A96213A-R34-C14
4,0,SA1090-A96213A-R34-C15
4,0,SA1090-A96213A-R34-C16
5,0,SA1090-A96213A-R34-C17
4,0,SA1090-A96213A-R34-C18
4,0,SA1090-A96213A-R34-C19
4,0,SA1090-A96213A-R34-C20
4,0,SA1090-A96213A-R34-C21
5,0,SA1090-A96213A-R34-C22
4,0,SA1090-A96213A-R34-C23
5,0,SA1090-A96213A-R34-C24
6,0,SA1090-A96213A-R34-C25
4,0,SA1090-A96213A-R34-C26
6,0,SA1090-A96213A-R34-C27
5,0,SA1090-A96213A-R34-C28
4,0,SA1090-A96213A-R34-C29
5,0,SA1090-A96213A-R34-C30
6,0,SA1090-A96213A-R34-C31
4,0,SA1090-A96213A-R34-C32
5,0,SA1090-A96213A-R34-C33
4,0,SA1090-A96213A-R34-C34
4,0,SA1090-A96213A-R34-C35
6,0,SA1090-A96213A-R34-C36
5,0,SA1090-A96213A-R34-C37
6,0,SA1090-A96213A-R34-C38
5,0,SA1090-A96213A-R34-C39
5,0,SA1090-A96213A-R34-C40
5,0,SA1090-A96213A-R34-C41
6,0,SA1090-A96213A-R34-C42
6,0,SA1090-A96213A-R34-C43
4,0,SA1090-A96213A-R34-C44
4,0,SA1090-A96213A-R34-C45
4,0,SA1090-A96213A-R34-C46
4,0,SA1090-A96213A-R34-C47
6,0,SA1090-A96213A-R34-C48
4,0,SA1090-A96213A-R34-C49
4,0,SA1090-A96213A-R34-C50
6,0,SA1090-A96213A-R34-C51
5,0,SA1090-A96213A-R34-C52
5,0,SA1090-A96213A-R34-C53
6,0,SA1090-A96213A-R34-C54
5,0,SA1090-A96213A-R34-C55
5,0,SA1090-A96213A-R34-C56
5,0,SA1090-A96213A-R34-C57
6,0,SA1090-A96213A-R34-C58
4,0,SA1090-A96213A-R34-C59
4,0,SA1090-A96213A-R34-C60
6,0,SA1090-A96213A-R34-C61
4,0,SA1090-A96213A-R34-C62
6,0,SA1090-A96213A-R34-C63
5,0,SA1090-A96213A-R34-C64
5,0,SA1090-A96213A-R34-C65
6,0,SA1090-A96213A-R34-C66
4,0,SA1090-A96213A-R34-C67
5,0,SA1090-A96213A-R34-C68
4,0,SA1090-A96213A-R34-C70
4,0,SA1090-A96213A-R35-C10
6,0,SA1090-A96213A-R35-C11
4,0,SA1090-A96213A-R35-C12
4,0,SA1090-A96213A-R35-C14
